words	rst	class	segment	rst_code	class_code
only 17 weeks , Daily Mail , October 11 , 2010 , accessed April 4 , 2011 , http://www.dai-lymail.co.uk/health/article-1319373/The-foetus-broke-big-smile--aged-17-weeks.html .	elaboration	NoArgument	297	9	1
smile ... aged	list	NoArgument	297	12	1
that no one has the right to decide what I am supposed to do with my uterus .	elaboration	Argument	3197	9	0
Protester Katazyna Goluch , a 17-year-old Warsaw high school student , told AFP that no one has the right	attribution	Argument	3197	1	0
Women who have abortions often suffer major psychological damage from the experience along with , in some cases , the father of the child . Women who have abortions often suffer major psychological damage from the experience along with , in some cases , the father of the child .	none	Argument	2789	15	0
Yes , after conception you have a real human being waiting	elaboration	Argument	3488	9	0
conception you have a real human being waiting to enter the world .	elaboration	Argument	3488	9	0
In a recent Ipsos opinion poll , only 11 % favoured that option . In a recent Ipsos opinion poll , only 11 % favoured that option .	none	NoArgument	1557	15	1
that women have a choice about what they	elaboration	Argument	788	9	0
about what they do with their body , especially in the circumstances of when women are raped or the baby / mother is put at risk of life threatening problems .	elaboration	Argument	788	9	0
I believe that women have a choice	attribution	Argument	788	1	0
Is this really the equality we were looking for 42 years ago ?	elaboration	Argument	578	9	0
Sotomayor was not impressed , joking that	attribution	NoArgument	106	1	1
that while she is n't very good at math , that seemed like a small percentage to her .	same_unit	NoArgument	106	20	1
</li> </li> </ul> <li> WAYS OF ABORTION CARRIED OUT . </li> </li> </ul> <li> WAYS OF ABORTION CARRIED OUT .	none	NoArgument	2221	15	1
Infertility is also a possible complication of a previous abortion . Infertility is also a possible complication of a previous abortion .	none	Argument	1427	15	0
Rather , it is quite compelling simply to say that the vast majority of abortions are purely elective abortions , done on healthy women with healthy babies .	attribution	Argument	2673	1	0
They want to introduce an anti-abortion law which will mean in many cases , women will be sentenced to death .	elaboration	Argument	3297	9	0
: That opinion [ Doe v. Bolton ] and this one , of course , are to be read	elaboration	NoArgument	685	9	1
That opinion [ Doe v. Bolton ] and this one , of course , are to be read together	elaboration	NoArgument	685	9	1
together .	elaboration	NoArgument	685	9	1
together 	elaboration	NoArgument	685	9	1
The Court in Roe said :	attribution	NoArgument	685	1	1
that the right of a woman	attribution	Argument	359	1	0
the right of a woman to choose is the law of the land today , and has been for several decades .	elaboration	Argument	359	9	0
However , Gov. Johnson recognizes that	attribution	Argument	359	1	0
that the Court created an unlimited right to abortion ,	elaboration	NoArgument	294	9	1
and odds are good that they wo n't agree with it .	attribution	NoArgument	294	1	1
Chances are your audience will not know that the Court created an unlimited right	attribution	NoArgument	294	1	1
to abortion , that they wo n't agree with it .	list	NoArgument	294	12	1
It will burden her conscience in life , it will burden her soul in death ;	elaboration	Argument	1764	9	0
burden her conscience in life , it will burden her soul in death ; But oh , thrice guilty is he	elaboration	Argument	1764	9	0
But oh , thrice guilty is he who drove her to the	elaboration	Argument	1764	9	0
who drove her to the desperation which impelled her to the crime !	elaboration	Argument	1764	9	0
She had limited access to health care after delivery and did n't really understand the risks her doctor mentioned about a next pregnancy .	attribution	NoArgument	2973	1	1
Back alley abortions would increase if it were made illegal , leading to increased risk of young women dying or becoming sterile .	condition	Argument	2994	5	0
Newsweek , April 16 , 2010 , accessed February 28 , 2011 http://www.news-week.com/2010/04/15/remember-roe.html . Newsweek , April 16 , 2010 , accessed February 28 , 2011 http://www.news-week.com/2010/04/15/remember-roe.html .	none	NoArgument	2016	15	1
Photos : Abortion protests held across Poland People take part in a nationwide strike and demonstration	elaboration	NoArgument	639	9	1
Abortion protests held across Poland People take part in a nationwide strike and demonstration to protest a legislative proposal	elaboration	NoArgument	639	9	1
to protest a legislative proposal for a ban of abortion on Monday , October 3 , in Warsaw , Poland .	elaboration	NoArgument	639	9	1
Another example is Obamacare , where final passage was held up	elaboration	NoArgument	2832	9	1
where final passage was held up by a few senators who did n't like the abortion language	means	NoArgument	2832	14	1
by a few senators who did n't like the abortion language of the bill .	elaboration	NoArgument	2832	9	1
And I saw that . And I saw that .	none	NoArgument	1440	15	1
Is obesity a disease ? Is obesity a disease ?	none	NoArgument	2354	15	1
Scientifically , we know that from the earliest stages of development , the unborn are distinct , living , and whole human beings .	attribution	Argument	65	1	0
One of the most common reasons why some women want to have an abortion is	elaboration	Argument	3014	9	0
One of the most common reasons why some women want to have an abortion because they have the desire	elaboration	Argument	3014	9	0
because they have the desire to delay	elaboration	Argument	3014	9	0
because they have the desire because they themselves are young .	elaboration	Argument	3014	9	0
because they have the desire childbearing	same_unit	Argument	3014	20	0
Some businesses had to close for the day as a result , while others were staffed by men only .	contrast	NoArgument	2140	7	1
You Should Vote For Hillary Clinton .	elaboration	NoArgument	628	9	1
And you know who else has ?	elaboration	NoArgument	212	9	1
Given the current abortion rate , 1 baby is aborted every 30 seconds and 120 babies are aborted every hour . Given the current abortion rate , 1 baby is aborted every 30 seconds and 120 babies are aborted every hour .	none	NoArgument	1831	15	1
As genetic knowledge continues to grow , we are able to determine more and	elaboration	NoArgument	1234	9	1
more and more about what a child will be like as an adult .	attribution	NoArgument	1234	1	1
I think you ai n't fit to look after kids 2 .	attribution	NoArgument	771	1	1
It is the duty of our government to protect this life as a right guaranteed under the Constitution .	elaboration	Argument	1597	9	0
Human life occurs at conception , but fertilized eggs used for in vitro fertilization are also human lives and those not implanted are routinely thrown away .	elaboration	Argument	1749	9	0
Before choosing a health plan , consumers will know whether the plan covers these services .	attribution	NoArgument	935	1	1
Do we want to saddle society with the added burden ? Do we want to saddle society with the added burden ?	none	Argument	530	15	0
It will take away the sense of security they have , the treatment options available when pregnancy puts their lives or health in danger .	circumstance	Argument	2458	2	0
and kill a child via abortion )	elaboration	Argument	6	9	0
via abortion ) so that good ( saving the life of the mother ) may result .	elaboration	Argument	6	9	0
In this case we may never do evil ( directly attack and kill a child	list	Argument	6	12	0
Source : Welcoming Every Life :	elaboration	NoArgument	1257	9	1
Welcoming Every Life : Choosing Life after an Unexpected Prenatal Diagnosis , heritage.org , Jan. 20 , 2015 [ Editor 's Note :	elaboration	NoArgument	1257	9	1
Choosing Life after an Unexpected Prenatal Diagnosis , heritage.org , Jan. 20 , 2015 [ Editor 's Note : In a Jan. 2010 radio interview , as quoted in the article	elaboration	NoArgument	1257	9	1
In a Jan. 2010 radio interview , as quoted in the article Right Fight by Connie Bruck , published June 7 , 2010 in the New Yorker , Carly Fiorina stated ,	elaboration	NoArgument	1257	9	1
I absolutely would vote to overturn Roe v. Wade	purpose	NoArgument	1257	16	1
to overturn Roe v. Wade if the opportunity presented itself .	condition	NoArgument	1257	5	1
In a Jan. 2010 radio interview , as quoted in the article ]	elaboration	NoArgument	1257	9	1
In a Jan. 2010 radio interview , as quoted in the article I absolutely would vote	same_unit	NoArgument	1257	20	1
You guys are just cruel I did it .	elaboration	NoArgument	2761	9	1
this is a right which must be established by the states .	elaboration	NoArgument	2374	9	1
I also believe this is a right	attribution	NoArgument	2374	1	1
Not a person is a decidedly unscientific argument : it has nothing to do	elaboration	Argument	2864	9	0
it has nothing to do with science and everything to do with someone 's own moral or political	elaboration	Argument	2864	9	0
with science and everything to do with someone 's own moral or political philosophy ,	elaboration	Argument	2864	9	0
philosophy , though that someone may not readily admit it .	attribution	Argument	2864	1	0
However , the women now has to live with a feeling of abandoning their child for the rest of her life .	elaboration	Argument	145	9	0
The website www.afterabortion.com established by a woman who had 5 abortions provides	elaboration	NoArgument	3648	9	1
who had 5 abortions provides a place for women	elaboration	NoArgument	3648	9	1
a place for women to help each	elaboration	NoArgument	3648	9	1
to help each other cope with the aftermath of their abortions .	list	NoArgument	3648	12	1
The advances of genetic testing may prompt more abortions ( to avoid having the non-ideal child ) .	elaboration	NoArgument	2873	9	1
But because a destructive activity will not be completely eradicated is no reason	reason	Argument	931	18	0
because a destructive activity will not be completely eradicated is no reason to make or keep it legal ( think	elaboration	Argument	931	9	0
to make or keep it legal ( think of drug laws or laws against prostitution ) .	elaboration	Argument	931	9	0
Comments you post here may also appear on your Facebook page .	elaboration	NoArgument	3783	9	1
And I have never advocated that .	attribution	NoArgument	322	1	1
Obesity was the third leading cause of death in 2009 , after high blood pressure and smoking . Obesity was the third leading cause of death in 2009 , after high blood pressure and smoking .	none	NoArgument	970	15	1
A skin cell is by nature a skin cell . A skin cell is by nature a skin cell .	none	NoArgument	791	15	1
and replace it with health care that does not cover birth control you , will not reduce abortions .	elaboration	NoArgument	1451	9	1
If your candidate wants to lift the birth control mandate from the Affordable Care Act or repeal the Affordable Care Act and replace it	condition	NoArgument	1451	5	1
We should n't penalize someone for life . We should n't penalize someone for life .	none	Argument	2714	15	0
How do you actually do it ? How do you actually do it ?	none	NoArgument	1219	15	1
Even supporting partial-birth abortion . Even supporting partial-birth abortion .	none	NoArgument	1	15	1
Click here for VoteMatch responses by Donald Trump .	elaboration	NoArgument	1752	9	1
You should raise them , and then provide the answers .	list	NoArgument	219	12	1
But a certain Samaritan , as he journeyed , came	circumstance	NoArgument	958	2	1
as he journeyed , came where he was ,	elaboration	NoArgument	958	9	1
and when he saw him he had compassion on him .	circumstance	NoArgument	958	2	1
as he journeyed , came and	list	NoArgument	958	12	1
The nature of the life in the woman is human . The nature of the life in the woman is human .	none	Argument	946	15	0
Are all abortionists simply in it for the money ? Are all abortionists simply in it for the money ?	none	Argument	227	15	0
While admitting that abortion is not in the text of the Constitution , they nevertheless ruled that a right to abortion was part of an implied right to privacy	elaboration	Argument	1224	9	0
that a right to abortion was part of an implied right to privacy 	attribution	Argument	1224	1	0
that the Court had fashioned in previous rulings regarding contraception regulations	elaboration	Argument	1224	9	0
regarding contraception regulations .	elaboration	Argument	1224	9	0
 that the Court had fashioned in previous rulings	attribution	Argument	1224	1	0
The organizers called on the international feminist community to mobilize in support of the protest in Poland .	elaboration	NoArgument	3067	9	1
Here 's a look at abortion from both sides - 10 arguments	elaboration	NoArgument	2983	9	1
sides - 10 arguments for abortion and 10 arguments against abortion - for a total of 20 statements	elaboration	NoArgument	2983	9	1
for abortion and 10 arguments against abortion - for a total of 20 statements that represent a range of topics as seen from both	elaboration	NoArgument	2983	9	1
that represent a range of topics as seen from both sides .	elaboration	NoArgument	2983	9	1
Degree of Dependency : If viability makes us	condition	Argument	55	5	0
then all those who depend on insulin or kidney medication are not valuable	elaboration	Argument	55	9	0
If viability makes us human ,	condition	Argument	55	5	0
then all those and we may kill them .	list	Argument	55	12	0
human , then all those	sequence	Argument	55	21	0
If abortion is what matters to you in this election , I 'd like to put rhetoric aside	condition	NoArgument	3627	5	1
to you in this election , I 'd like to put rhetoric aside and focus on the facts .	list	NoArgument	3627	12	1
that , in any debate , you may face an invisible thumb on the scale so that	elaboration	NoArgument	1105	9	1
so that even the best logic will fail to persuade .	elaboration	NoArgument	1105	9	1
This means that , in any debate , you may face an invisible thumb on the scale	attribution	NoArgument	1105	1	1
In other words , a muscle cell is by nature a muscle cell . In other words , a muscle cell is by nature a muscle cell .	none	NoArgument	69	15	1
and I have not seen any reports of arrests or confrontations , he said	attribution	NoArgument	856	1	1
of arrests or confrontations , he said .	attribution	NoArgument	856	1	1
It is tense but peaceful and I have not seen any reports	list	NoArgument	856	12	1
This is something that goes way beyond politics .	attribution	NoArgument	1804	1	1
The truth : The baby in the womb is not her body , it is a separate human life ( see pro death reason	elaboration	Argument	839	9	0
The baby in the womb is not her body , it is a separate human life ( see pro death reason # 2 )	elaboration	Argument	839	9	0
# 2 ) protected by God 's law and the constitution of the United States .	elaboration	Argument	839	9	0
What if the child had a strong risk of schizophrenia ?	condition	NoArgument	2378	5	1
that women unable to obtain abortions were more likely to stay in a relationship with an abusive partner than women who had an abortion , and were more than twice as likely to become victims of domestic violence .	elaboration	Argument	325	9	0
The same study found that women unable to obtain abortions were more likely to stay in a relationship with an abusive partner than women	attribution	Argument	325	1	0
She did n't plan on being pregnant	elaboration	Argument	2012	9	0
and would not choose an abortion , except her pregnancy is killing her	elaboration	Argument	2012	9	0
except her pregnancy is killing her and unless	condition	Argument	2012	5	0
except her pregnancy is killing her the pregnancy ends she will die leaving her 5-month-old motherless .	elaboration	Argument	2012	9	0
on being pregnant and would not choose an abortion ,	list	Argument	2012	12	0
In 2007 over 2000 women testified in affidavits read by the us supreme court .	elaboration	NoArgument	428	9	1
that inspired Monday 's action was held to protest wage discrepancy and unfair employment practices against women .	elaboration	NoArgument	3194	9	1
The 1975 strike in Iceland that inspired Monday 's action was held	attribution	NoArgument	3194	1	1
I 'm well acquainted with winning , Trump said	elaboration	NoArgument	3240	9	1
acquainted with winning , Trump said .	attribution	NoArgument	3240	1	1
but the duty to prevent the murder of helpless innocent babies in the womb .	elaboration	Argument	1566	9	0
Our government not only has the right , but the duty	contrast	Argument	1566	7	0
But the fertilized egg of a human is , by nature , that very	elaboration	Argument	2188	9	0
very thing which becomes a fully developed	elaboration	Argument	2188	9	0
thing which becomes a fully developed human .	elaboration	Argument	2188	9	0
The opinions expressed in this commentary are solely those of the author . The opinions expressed in this commentary are solely those of the author .	none	NoArgument	435	15	1
They say it 's 3 % , other people say it 's 85 % .	attribution	NoArgument	2465	1	1
What would the world be like	condition	Argument	281	5	0
like if the mothers of Abe Lincoln , George Washington , or Thomas Edison had had an abortion ?	attribution	Argument	281	1	0
I am pro-life , he said .	attribution	NoArgument	1497	1	1
Weight gain , edema , back pain , morning sickness , and constipation are among the common complaints .	elaboration	NoArgument	3670	9	1
The societal contributions of a potentially valuable human being are wiped out . The societal contributions of a potentially valuable human being are wiped out .	none	Argument	923	15	0
anxiety </li> </li> </ul> <li> <ul> <li> Woman may experience chemical reactions due to the way in which	elaboration	Argument	2167	9	0
anxiety </li> </li> </ul> <li> <ul> <li> Woman may experience chemical reactions due to the way the procedure was performed as well	elaboration	Argument	2167	9	0
the procedure was performed as well as the body unique reaction	elaboration	Argument	2167	9	0
as the body unique reaction , which may be due to other medical problems that are known or unknown .	elaboration	Argument	2167	9	0
Adoption is not an alternative to abortion , because it remains the woman 's choice	reason	Argument	579	18	0
because it remains the woman 's choice whether or not	elaboration	Argument	579	9	0
whether or not to give her child up	elaboration	Argument	579	9	0
to give her child up for adoption .	elaboration	Argument	579	9	0
Abortion eliminates legal rights of the unborn child . Abortion eliminates legal rights of the unborn child .	none	Argument	1396	15	0
that the radiation from cell phones may increase the chance of developing cancer and other health problems .	elaboration	NoArgument	96	9	1
However , some studies have found that the radiation from cell phones may increase the chance	attribution	NoArgument	96	1	1
Do we want to subject the child to such misery ?	purpose	NoArgument	3290	16	1
abortion should be legal in all or most cases versus illegal in all or most cases ( 51 % vs. 45 % , Lutheran ; 48 % vs. 45 % , Catholic ) .	elaboration	Argument	242	9	0
Although the Catholic and Lutheran churches oppose abortion , more of their members believe abortion should be legal in all or most cases versus illegal in all or most cases	attribution	Argument	242	1	0
Fetal surgery has become a medical specialty , and includes the separate provision of anesthesia to the baby . Fetal surgery has become a medical specialty , and includes the separate provision of anesthesia to the baby .	none	NoArgument	613	15	1
As Feminists for Life says , women deserve better than abortion .	comparison	Argument	1079	3	0
However , if that is the case , there are plenty of wonderful people out there who	elaboration	NoArgument	202	9	1
However , if that is the case , there are plenty of wonderful people out there are .	elaboration	NoArgument	202	9	1
Those are the words of one of my mentors . Those are the words of one of my mentors .	none	NoArgument	529	15	1
And I am pro-life . And I am pro-life .	none	Argument	2622	15	0
And went to him , and bound up	elaboration	NoArgument	3345	9	1
to him , and bound up his wounds , pouring in oil and wine , and set him on his own beast , and brought him	elaboration	NoArgument	3345	9	1
his wounds , pouring in oil and wine , and set him on his own beast , and brought him to an inn , and took care of him .	purpose	NoArgument	3345	16	1
ProCon.org presents 15 pro and con arguments and 27 quotes from experts including the Pharmaceutical Research and Manufacturers of America ( pro ) , the American College of Physicians ( con ) , the American Advertising Federation ( pro ) , and the World Health Organization ( con ) .	list	NoArgument	2908	12	1
And God do n't like it . And God do n't like it .	none	Argument	1588	15	0
819 elementary and middle schools , 1,926 high schools , and 1,010 colleges and universities use our free nonpartisan research to stimulate critical thinking .	list	NoArgument	205	12	1
Both men and women have sex but it is the woman	elaboration	Argument	1114	9	0
but it is the woman who becomes pregnant , the woman	elaboration	Argument	1114	9	0
who becomes pregnant , the woman who must either find ways	elaboration	Argument	1114	9	0
who must either find ways to courageously	elaboration	Argument	1114	9	0
and sacrificially care and nurture the developing child in her womb , or	elaboration	Argument	1114	9	0
in her womb , or who must do the unthinkable	elaboration	Argument	1114	9	0
who must either find ways who must do the unthinkable	list	Argument	1114	12	0
and sacrificially care and nurture the developing child and end her own child 's life .	list	Argument	1114	12	0
Instead of assigning arbitrary ages for the exercise of adult prerogatives , we should recognize people as adults when they assume responsibility for their lives .	circumstance	NoArgument	151	2	1
is not about when life begins but about when , or whether ,	elaboration	Argument	868	9	0
when life begins but about when , or whether , that life deserves legal acknowledgment and protection .	elaboration	Argument	868	9	0
Their argument is not about	attribution	Argument	868	1	0
We need complete reproductive healthcare , which	elaboration	Argument	389	9	0
We need complete reproductive healthcare 	elaboration	Argument	389	9	0
We need complete reproductive healthcare includes the right to an abortion .	same_unit	Argument	389	20	0
but you should always start here	elaboration	NoArgument	324	9	1
you should always start here :	elaboration	NoArgument	324	9	1
Overturning Roe does n't make abortion illegal , it simply changes the venue of the question : from nine unelected	elaboration	NoArgument	324	9	1
from nine unelected Supreme Court justices to the people , to enact abortion policy	elaboration	NoArgument	324	9	1
Supreme Court justices to the people , to enact abortion policy through their elected state representatives .	elaboration	NoArgument	324	9	1
: Overturning Roe does n't make abortion illegal , it simply changes the venue of the question :	elaboration	NoArgument	324	9	1
Your rejoinder may include several points , but	contrast	NoArgument	324	7	1
We have provided this comment system as a courtesy to our readers . We have provided this comment system as a courtesy to our readers .	none	NoArgument	2484	15	1
If a woman has a family history of breast cancer , she increases her risk	elaboration	Argument	2894	9	0
If a woman has a family history of developing this disease by going through with an abortion .	elaboration	Argument	2894	9	0
Humans are humans not	elaboration	Argument	229	9	0
not because they have feet , hands , walk vertically , and speak , etc .	list	Argument	229	12	0
The pressure to have sex at an early age is fierce in today 's society . The pressure to have sex at an early age is fierce in today 's society .	none	NoArgument	1754	15	1
so much passion and hatred of the other side .	attribution	NoArgument	1421	1	1
No issue brings out so much	attribution	NoArgument	1421	1	1
This undercuts even our weakest , least honest escape : to pretend	elaboration	Argument	82	9	0
to pretend that we do n't even know what an apple is ,	elaboration	Argument	82	9	0
just so we have an excuse	elaboration	Argument	82	9	0
so we have an excuse for pleading	attribution	Argument	82	1	0
for pleading that we do n't know what an abortion is .	attribution	Argument	82	1	0
to pretend just	same_unit	Argument	82	20	0
Pregnancy can occur even with responsible contraceptive use .	elaboration	Argument	160	9	0
The risk of death from maternal causes in Malta is 8 in 100,000 , in the United States it is 11 in 100,000 . The risk of death from maternal causes in Malta is 8 in 100,000 , in the United States it is 11 in 100,000 .	none	Argument	1705	15	0
More poignantly , bearing a child while in poverty	elaboration	Argument	177	9	0
while already overwhelmed by caregiving for other children , or perhaps	elaboration	Argument	177	9	0
while experiencing health risks , reeks of an injustice known to women alone .	elaboration	Argument	177	9	0
already overwhelmed by caregiving for other children , or perhaps while experiencing health risks ,	elaboration	Argument	177	9	0
while in poverty while	concession	Argument	177	4	0
while in poverty or	disjunction	Argument	177	8	0
if I would ban partial-birth abortion , my pro-choice instincts led me to say no .	condition	NoArgument	873	5	1
When Tim Russert asked me on Meet the Press if I would ban partial-birth abortion , my pro-choice instincts led me	attribution	NoArgument	873	1	1
Please enter a valid email address . Please enter a valid email address .	none	NoArgument	939	15	1
By the time a baby is conceived , he or she is recognized by God , as demonstrated in Jeremiah 1:5 :	means	Argument	586	14	0
by God , as demonstrated in Jeremiah 1:5 : 	elaboration	Argument	586	9	0
 Before I formed thee in the belly I knew thee ;	temporal	Argument	586	22	0
Before I formed thee in the belly I knew thee ; before thou camest forth out of the womb I sanctified thee	temporal	Argument	586	22	0
before thou camest forth out of the womb I sanctified thee ...	attribution	Argument	586	1	0
... The Sixth Commandment of the Bible 's Old Testament , Thou shalt not kill ( Exodus 20:13 ) , applies to all human beings , including unborn babies .	attribution	Argument	586	1	0
Before I formed thee in the belly I knew thee ; and	list	Argument	586	12	0
One brief mistake can take away a woman 's childhood and trap her for life .	elaboration	Argument	3718	9	0
solidarity in other European cities , including Berlin , Brussels , Dusseldorf , Belfast , London and Paris .	elaboration	NoArgument	1679	9	1
Demonstrations were held in solidarity in other European cities ,	attribution	NoArgument	1679	1	1
That 's what this country needs now . That 's what this country needs now .	none	NoArgument	880	15	1
Click here for MyOcracy.org quiz by Donald Trump .	elaboration	NoArgument	542	9	1
Funding abortion is no different from funding a war in the Mideast .	elaboration	Argument	1518	9	0
This seems to be the tactic used by the pro death crowd , particularly in these reasons for abortion . This seems to be the tactic used by the pro death crowd , particularly in these reasons for abortion .	none	Argument	1323	15	0
What 's your position ? What 's your position ?	none	NoArgument	1593	15	1
and whether to have children is central to a woman 's independence and ability	elaboration	Argument	218	9	0
to have children is central to a woman 's independence and ability to determine her future .	elaboration	Argument	218	9	0
The choice over when and whether	list	Argument	218	12	0
There are currently around 700,000 abortions/year in the United States . There are currently around 700,000 abortions/year in the United States .	none	NoArgument	186	15	1
And that brings us to our next topic :	purpose	NoArgument	1549	16	1
to our next topic : the law .	elaboration	NoArgument	1549	9	1
Thousands of people braved the rain to join a demonstration in Warsaw 's historic old town .	purpose	NoArgument	552	16	1
Another bill established a woman 's right to know ,	elaboration	NoArgument	480	9	1
Another bill established a woman 's right ensuring her consent to an abortion is an informed one ,	elaboration	NoArgument	480	9	1
ensuring her consent to an abortion is an informed one , based on the same information she would be given	elaboration	NoArgument	480	9	1
based on the same information she would be given if she were removing her tonsils	condition	NoArgument	480	5	1
based on the same information she would be given instead of her baby .	elaboration	NoArgument	480	9	1
No compassionate person wants a woman to suffer	elaboration	Argument	348	9	0
to suffer through the personal tragedy of abortion ,	attribution	Argument	348	1	0
through the personal tragedy of abortion , whether legal or illegal .	attribution	Argument	348	1	0
that thousands of protesters congregated in Castle Square in Warsaw , and said most of them were women .	attribution	NoArgument	2467	1	1
He estimated that thousands of protesters congregated in Castle Square in Warsaw , and said	attribution	NoArgument	2467	1	1
There were expressions of solidarity around the world and men joined the protest alongside women . There were expressions of solidarity around the world and men joined the protest alongside women .	none	NoArgument	3652	15	1
She may have planned to go to medical school , train for the Olympics , travel the world , or just have fun while she 's still young .	elaboration	NoArgument	1799	9	1
that : ( 1 ) the word contraception literally means against conception , therefore something can not be said to be a contraceptive	elaboration	NoArgument	3126	9	1
to be a contraceptive 	elaboration	NoArgument	3126	9	1
 if it allows conception ,	condition	NoArgument	3126	5	1
